class,feature,weight,true_label,pred_label,confidence
Bot,Posts,-0.14390080132938338,Bot,Bot,0.9999881982803345
Bot,Following/Followers,0.08079723227272204,Bot,Bot,0.9999881982803345
Bot,Followers,-0.07806585487444619,Bot,Bot,0.9999881982803345
Bot,Following,0.06183753808945431,Bot,Bot,0.9999881982803345
Bot,Posts/Followers,-0.05627901233746048,Bot,Bot,0.9999881982803345
Bot,Mutual Friends,-0.027926036510006916,Bot,Bot,0.9999881982803345
Bot,Bio,-0.011071256598864864,Bot,Bot,0.9999881982803345
Bot,Profile Picture,0.006525162504751933,Bot,Bot,0.9999881982803345
Bot,Threads,-0.005278640413849187,Bot,Bot,0.9999881982803345
Bot,External Link,-0.004384530648762492,Bot,Bot,0.9999881982803345
Real,Posts,0.21477603197056924,Real,Real,0.9999918937683105
Real,Followers,-0.1687622063966651,Real,Real,0.9999918937683105
Real,Following,0.09646021498490996,Real,Real,0.9999918937683105
Real,Posts/Followers,0.06385184465481764,Real,Real,0.9999918937683105
Real,External Link,-0.04256817033158841,Real,Real,0.9999918937683105
Real,Following/Followers,0.03149920697124155,Real,Real,0.9999918937683105
Real,Mutual Friends,0.02236069041329095,Real,Real,0.9999918937683105
Real,Threads,0.021110237110351367,Real,Real,0.9999918937683105
Real,Bio,0.01897682095624179,Real,Real,0.9999918937683105
Real,Profile Picture,-0.01367116965976621,Real,Real,0.9999918937683105
Scam,Followers,-0.13138848041871778,Scam,Scam,0.9999785423278809
Scam,Following,-0.09222050472263951,Scam,Scam,0.9999785423278809
Scam,Following/Followers,0.027297844966175898,Scam,Scam,0.9999785423278809
Scam,Posts,-0.026560110308649798,Scam,Scam,0.9999785423278809
Scam,Posts/Followers,-0.015134560382293084,Scam,Scam,0.9999785423278809
Scam,Threads,-0.014913522129936511,Scam,Scam,0.9999785423278809
Scam,Mutual Friends,-0.013744139550602226,Scam,Scam,0.9999785423278809
Scam,External Link,0.013190651953132876,Scam,Scam,0.9999785423278809
Scam,Profile Picture,0.007509846187065925,Scam,Scam,0.9999785423278809
Scam,Bio,-0.0016945302215476462,Scam,Scam,0.9999785423278809
Spam,Followers,0.27924290372949384,Spam,Spam,0.9999785423278809
Spam,Following/Followers,-0.07580037617140216,Spam,Spam,0.9999785423278809
Spam,Posts,-0.0686940978315101,Spam,Spam,0.9999785423278809
Spam,Following,-0.05586841242033643,Spam,Spam,0.9999785423278809
Spam,Profile Picture,-0.03439396387312835,Spam,Spam,0.9999785423278809
Spam,External Link,0.03162222640308819,Spam,Spam,0.9999785423278809
Spam,Posts/Followers,-0.020630293633701526,Spam,Spam,0.9999785423278809
Spam,Bio,0.009111693216284985,Spam,Spam,0.9999785423278809
Spam,Threads,0.004219958638023491,Spam,Spam,0.9999785423278809
Spam,Mutual Friends,-0.003881827150770997,Spam,Spam,0.9999785423278809
